unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
116,texture,stratified,0.16492127659660455,orange-c,30348501.0,3508051.0,282652.0,0.008418801509505896,mountain,5469345.0,2144504.0,568950.0,0.08076056164893208,torso,7669375.0,381701.0,39314.0,0.004907035431157341,canyon-s,175616.0,1125273.0,90338.0,0.07462552176653442,stratified,1568000.0,1314508.0,408085.0,0.16492127659660455
2,scene,nursery-s,0.1623472391846418,pink-c,18491188.0,3277690.0,272100.0,0.01265771084392275,cradle,157375.0,1584062.0,105765.0,0.06466149692603407,headboard,500152.0,937394.0,25852.0,0.018312750496920722,nursery-s,827904.0,1225938.0,286864.0,0.1623472391846418,dotted,2935296.0,147701.0,37687.0,0.012375423191727608
4,scene,reception-s,0.1606920404558188,orange-c,30348501.0,3291575.0,240485.0,0.007200237871176326,counter,599104.0,1750678.0,153921.0,0.07009596691229546,back pillow,282308.0,707107.0,13140.0,0.013459322424521778,reception-s,790272.0,1318240.0,291913.0,0.1606920404558188,,24924928.0,112218.0,110511.0,0.00443345040355427
486,scene,elevator_shaft-s,0.1605069674049247,black-c,139916835.0,3524993.0,1196053.0,0.008408355186647898,elevator,96413.0,723319.0,14126.0,0.01753462610755133,fire escape,51663.0,185048.0,6931.0,0.030163634781094947,elevator_shaft-s,137984.0,323227.0,63789.0,0.1605069674049247,cobwebbed,1505280.0,546500.0,108830.0,0.05601276409583365
225,scene,badlands-s,0.1603638167351649,pink-c,18491188.0,3341522.0,137996.0,0.006360812131471288,mountain,5469345.0,1832655.0,208342.0,0.0293701782634573,back pillow,282308.0,577109.0,5435.0,0.006364302760479728,badlands-s,313600.0,832677.0,158417.0,0.1603638167351649,stratified,1568000.0,1358490.0,161149.0,0.05827454914240233
406,object,water,0.1600285450895905,blue-c,61494563.0,3687478.0,680570.0,0.010551232234688105,water,5655946.0,3424312.0,1252642.0,0.1600285450895905,torso,7669375.0,1433515.0,85715.0,0.009505748751687752,river-s,627200.0,1104512.0,127051.0,0.07917622476024531,potholed,1580544.0,495545.0,41335.0,0.02031449502003682
371,object,airplane,0.15992413507506203,blue-c,61494563.0,3726708.0,810068.0,0.01257650784755565,airplane,1293178.0,3647723.0,681225.0,0.15992413507506203,body,1291612.0,2823660.0,324349.0,0.08555937432651627,arrival_gate-outdoor-s,451584.0,708986.0,127171.0,0.12306088935638605,,24924928.0,138038.0,123770.0,0.004962870495103371
410,scene,auditorium-s,0.1579884705050438,red-c,21004512.0,3413443.0,312640.0,0.012969753765922578,seat,1488057.0,2090878.0,303892.0,0.09279023206718202,screen,677188.0,594670.0,105074.0,0.09005437167462015,auditorium-s,489216.0,1187681.0,228785.0,0.1579884705050438,honeycombed,1555456.0,188770.0,11839.0,0.006833923367007487
57,object,horse,0.15730286306753122,green-c,63326720.0,3568123.0,660780.0,0.009976437652632,horse,1230680.0,3430598.0,633570.0,0.15730286306753122,torso,7669375.0,2867561.0,563017.0,0.05644892443983152,corral-s,175616.0,346257.0,27825.0,0.05632043849990283,,24924928.0,150029.0,125990.0,0.005049908479176713
221,scene,art_gallery-s,0.15680132035198807,pink-c,18491188.0,3240569.0,110711.0,0.005120520071045591,painting,2207098.0,973583.0,128570.0,0.04212494237594897,hand,398768.0,513908.0,10473.0,0.011608252244783046,art_gallery-s,953344.0,504538.0,197612.0,0.15680132035198807,crosshatched,1743616.0,119242.0,15758.0,0.008531211087650913
